id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
301108,Female,27,1,8.0,1,< 1 Year,No,59868.0,152.0,148,0
142030,Female,25,1,28.0,0,< 1 Year,No,57232.0,152.0,238,0
127800,Male,78,1,28.0,1,1-2 Year,No,32101.0,26.0,199,0
341022,Female,24,1,3.0,0,< 1 Year,Yes,43067.0,152.0,85,1
488480,Female,27,1,28.0,0,1-2 Year,Yes,35925.0,124.0,125,1
284046,Male,59,1,28.0,0,1-2 Year,Yes,66478.0,26.0,271,0
488180,Male,46,1,8.0,0,1-2 Year,Yes,31561.0,124.0,108,1
18104,Male,58,1,28.0,0,1-2 Year,Yes,41244.0,26.0,114,1
470837,Female,22,1,15.0,1,< 1 Year,No,27484.0,152.0,112,0
285514,Male,25,1,9.0,1,< 1 Year,No,38391.0,152.0,85,0
75533,Male,42,1,28.0,0,1-2 Year,Yes,49116.0,124.0,171,0
124668,Male,37,1,28.0,0,1-2 Year,Yes,23873.0,26.0,281,0
379247,Male,49,1,28.0,0,1-2 Year,Yes,42644.0,26.0,55,0
119887,Female,39,1,47.0,1,1-2 Year,No,29798.0,124.0,127,0
69762,Male,51,1,15.0,0,1-2 Year,Yes,32937.0,122.0,21,0
315082,Male,42,1,28.0,0,1-2 Year,Yes,2630.0,124.0,217,0
102550,Female,21,1,13.0,0,< 1 Year,Yes,27029.0,160.0,224,0
191793,Female,21,1,15.0,0,< 1 Year,No,27756.0,160.0,279,0
171980,Male,43,1,39.0,0,1-2 Year,Yes,35092.0,156.0,283,0
355934,Male,22,1,9.0,0,< 1 Year,Yes,27102.0,152.0,211,0
58558,Female,25,1,41.0,1,< 1 Year,No,24018.0,152.0,218,0
294802,Female,51,1,28.0,0,1-2 Year,Yes,51568.0,46.0,17,0
202594,Female,23,1,46.0,1,< 1 Year,No,27857.0,152.0,25,0
116781,Female,29,1,41.0,1,< 1 Year,No,22578.0,152.0,165,0
360125,Female,26,1,10.0,1,< 1 Year,No,22237.0,152.0,236,0
282732,Male,23,1,42.0,1,< 1 Year,No,2630.0,160.0,108,0
389223,Female,56,1,15.0,1,1-2 Year,No,28657.0,14.0,17,0
33266,Female,71,1,12.0,1,1-2 Year,No,2630.0,124.0,71,0
47317,Male,30,1,28.0,0,< 1 Year,Yes,31616.0,156.0,190,0
200716,Male,53,1,3.0,0,> 2 Years,Yes,40649.0,124.0,271,0
18748,Male,27,1,45.0,0,< 1 Year,Yes,24855.0,152.0,225,0
